Seconds elapsed: 17 s
Angle Resolved Scattering Values: 
0.162177
0.162185
0.161176
0.158891
0.151293
0.145934
0.138479
0.128487
0.11979
0.107738
0.0948893
0.0811425
0.0663284
0.0509194
0.0342296
0.0190452
0.0064466
0.000392845
0.00247
0.00703015
0.0125821
0.0180388
0.0230422
0.0289852
0.0349342
0.039452
0.0437989
0.0489245
0.0537785
0.0572588
0.0616785
0.0624234
0.0650031
0.0681502
0.0670332
0.0656162
